date,pitcher_name,pitcher_hand,team,opponent,venue,projected_ks,actual_ks,book_line,our_edge_score,over_hit,swstr_pct,csw_pct,k_pct,opp_k_pct_vs_hand,o_swing_pct,park_factor,ump_adjustment,weather_temp,weather_wind,days_rest,pitch_count_last_outing,rolling_k_avg_3,rolling_k_avg_5,pitch_mix_adj,projected_ks_manual,innings_pitched
2026-03-26,Paul Skenes,R,PIT,NYM,Citi Field,,1,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Freddy Peralta,R,NYM,PIT,Citi Field,,7,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Shane Smith,R,CWS,MIL,American Family Field,,2,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Jacob Misiorowski,R,MIL,CWS,American Family Field,,11,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Cade Cavalli,R,WSH,CHC,Wrigley Field,,5,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Matthew Boyd,R,CHC,WSH,Wrigley Field,,7,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Joe Ryan,R,MIN,BAL,Oriole Park at Camden Yards,,7,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Trevor Rogers,R,BAL,MIN,Oriole Park at Camden Yards,,5,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Garrett Crochet,R,BOS,CIN,Great American Ball Park,,8,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Andrew Abbott,R,CIN,BOS,Great American Ball Park,,4,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,José Soriano,R,LAA,HOU,Daikin Park,,7,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Hunter Brown,R,HOU,LAA,Daikin Park,,9,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Tarik Skubal,R,DET,SD,Petco Park,,6,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Nick Pivetta,R,SD,DET,Petco Park,,4,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Drew Rasmussen,R,TB,STL,Busch Stadium,,2,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Matthew Liberatore,R,STL,TB,Busch Stadium,,2,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Nathan Eovaldi,R,TEX,PHI,Citizens Bank Park,,7,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Cristopher Sánchez,R,PHI,TEX,Citizens Bank Park,,10,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Zac Gallen,R,AZ,LAD,UNIQLO Field at Dodger Stadium,,2,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Yoshinobu Yamamoto,R,LAD,AZ,UNIQLO Field at Dodger Stadium,,6,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Tanner Bibee,R,CLE,SEA,T-Mobile Park,,7,,,N/A,,,,,,,,,,,,,,,,
2026-03-26,Logan Gilbert,R,SEA,CLE,T-Mobile Park,,7,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Cam Schlittler,R,NYY,SF,Oracle Park,,8,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Robbie Ray,R,SF,NYY,Oracle Park,,4,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Luis Severino,R,ATH,TOR,Rogers Centre,,3,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Kevin Gausman,R,TOR,ATH,Rogers Centre,,11,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Kyle Freeland,R,COL,MIA,loanDepot park,,2,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Sandy Alcantara,R,MIA,COL,loanDepot park,,5,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Cole Ragans,R,KC,ATL,Truist Park,,5,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Chris Sale,R,ATL,KC,Truist Park,,6,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Yusei Kikuchi,R,LAA,HOU,Daikin Park,,3,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Mike Burrows,R,HOU,LAA,Daikin Park,,6,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Framber Valdez,R,DET,SD,Petco Park,,5,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Michael King,R,SD,DET,Petco Park,,6,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Gavin Williams,R,CLE,SEA,T-Mobile Park,,7,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,George Kirby,R,SEA,CLE,T-Mobile Park,,6,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Ryne Nelson,R,AZ,LAD,UNIQLO Field at Dodger Stadium,,4,,,N/A,,,,,,,,,,,,,,,,
2026-03-27,Emmet Sheehan,R,LAD,AZ,UNIQLO Field at Dodger Stadium,,6,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Joe Boyle,R,TB,STL,Busch Stadium,,4,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Michael McGreevy,R,STL,TB,Busch Stadium,,5,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Miles Mikolas,R,WSH,CHC,Wrigley Field,,4,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Cade Horton,R,CHC,WSH,Wrigley Field,,4,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Jeffrey Springs,R,ATH,TOR,Rogers Centre,,2,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Dylan Cease,R,TOR,ATH,Rogers Centre,,12,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Taj Bradley,R,MIN,BAL,Oriole Park at Camden Yards,,9,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Kyle Bradish,R,BAL,MIN,Oriole Park at Camden Yards,,4,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Jacob Latz,R,TEX,PHI,Citizens Bank Park,,3,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Aaron Nola,R,PHI,TEX,Citizens Bank Park,,7,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Sonny Gray,R,BOS,CIN,Great American Ball Park,,5,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Brady Singer,R,CIN,BOS,Great American Ball Park,,5,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Mitch Keller,R,PIT,NYM,Citi Field,,3,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,David Peterson,R,NYM,PIT,Citi Field,,3,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Michael Lorenzen,R,COL,MIA,loanDepot park,,4,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Eury Pérez,R,MIA,COL,loanDepot park,,8,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Reid Detmers,R,LAA,HOU,Daikin Park,,9,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Cristian Javier,R,HOU,LAA,Daikin Park,,1,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Sean Burke,R,CWS,MIL,American Family Field,,5,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Chad Patrick,R,MIL,CWS,American Family Field,,4,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Michael Wacha,R,KC,ATL,Truist Park,,7,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Reynaldo López,R,ATL,KC,Truist Park,,3,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Will Warren,R,NYY,SF,Oracle Park,,3,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Tyler Mahle,R,SF,NYY,Oracle Park,,5,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Jack Flaherty,R,DET,SD,Petco Park,,2,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Randy Vásquez,R,SD,DET,Petco Park,,8,,,N/A,,,,,,,,,,,,,,,,
2026-03-28,Eduardo Rodriguez,R,AZ,LAD,UNIQLO Field at Dodger Stadium,,5,,,N/A,,,,,,,,,,,,,,,,
